category,region,supplier,issue_type,details
bezramnoe-osteklenie,moskva-i-mo,artalico.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,ramokna.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,ramokna.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,glassproekt.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,glassproekt.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,alum-paritet.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,alum-paritet.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,podolskie-okna.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,podolskie-okna.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,xn----7sbgbipzyfcbn3f.xn--p1ai,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,xn----7sbgbipzyfcbn3f.xn--p1ai,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,terraglass.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,terraglass.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,netrama.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,netrama.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,glasstroy.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,glasstroy.ru,NO_ADDRESS,
bezramnoe-osteklenie,moskva-i-mo,miro-miro.ru,NO_PHONE,
bezramnoe-osteklenie,moskva-i-mo,miro-miro.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,myagkie.com,NO_ADDRESS,
myagkie-okna,moskva-i-mo,ctepan.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,mjagkieokna.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,miagkieokna.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,tentoptom.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,oknafactoria.ru,NO_PHONE,
myagkie-okna,moskva-i-mo,oknafactoria.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,кантим.рф,NO_ADDRESS,
myagkie-okna,moskva-i-mo,уют-окна.рф,NO_ADDRESS,
myagkie-okna,moskva-i-mo,oknatent.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,okna-vit.ru,NO_PHONE,
myagkie-okna,moskva-i-mo,okna-vit.ru,NO_NAME,
myagkie-okna,moskva-i-mo,okna-vit.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,lider-tent.ru,NO_ADDRESS,
myagkie-okna,moskva-i-mo,artalico.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,levin-group.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,vorota-group.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,moskva-jaluzi.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,alfa24.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,mskroll.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,zavod-rollet.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,divals.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,профставни.рф,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,alfa24.ru,DUPLICATE,First: alfa24.ru
prozrachnye-rolstavni,moskva-i-mo,alfa24.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,eurobriz.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,allo-rolstavni.ru,NO_PHONE,
prozrachnye-rolstavni,moskva-i-mo,allo-rolstavni.ru,NO_NAME,
prozrachnye-rolstavni,moskva-i-mo,allo-rolstavni.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,verend.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,rollets.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,richrol.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,glasrol.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,rusroll.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,stranavorot.ru,NO_PHONE,
prozrachnye-rolstavni,moskva-i-mo,stranavorot.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,podolskie-okna.ru,NO_PHONE,
prozrachnye-rolstavni,moskva-i-mo,podolskie-okna.ru,NO_NAME,
prozrachnye-rolstavni,moskva-i-mo,podolskie-okna.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,arshinpro.ru,NO_PHONE,
prozrachnye-rolstavni,moskva-i-mo,arshinpro.ru,NO_NAME,
prozrachnye-rolstavni,moskva-i-mo,arshinpro.ru,NO_ADDRESS,
prozrachnye-rolstavni,moskva-i-mo,artalico.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,металлбокс.рф,NO_PHONE,
rolletnye-shkafy,moskva-i-mo,металлбокс.рф,NO_NAME,
rolletnye-shkafy,moskva-i-mo,металлбокс.рф,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,шкафмастер.рф,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,шкафмастер.рф,DUPLICATE,First: шкафмастер.рф
rolletnye-shkafy,moskva-i-mo,шкафмастер.рф,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,werstakoff.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,werstakoff.ru,DUPLICATE,First: werstakoff.ru
rolletnye-shkafy,moskva-i-mo,werstakoff.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,шкафвпаркинг-мск.рф,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,st-box.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,domebox.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,roll-box.ru,NO_PHONE,
rolletnye-shkafy,moskva-i-mo,roll-box.ru,NO_NAME,
rolletnye-shkafy,moskva-i-mo,roll-box.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,rusroll.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,tsar-skaf.ru,NO_ADDRESS,
rolletnye-shkafy,moskva-i-mo,werstakoff.ru,DUPLICATE,First: werstakoff.ru
rolletnye-shkafy,moskva-i-mo,werstakoff.ru,NO_ADDRESS,
vorota,moskva-i-mo,vorota-group.ru,NO_PHONE,
vorota,moskva-i-mo,vorota-group.ru,NO_ADDRESS,
vorota,moskva-i-mo,vorota-vam.ru,NO_PHONE,
vorota,moskva-i-mo,vorota-vam.ru,NO_ADDRESS,
vorota,moskva-i-mo,automaticheskie-vorota.ru,NO_PHONE,
vorota,moskva-i-mo,automaticheskie-vorota.ru,NO_ADDRESS,
vorota,moskva-i-mo,vorota750.ru,NO_PHONE,
vorota,moskva-i-mo,vorota750.ru,NO_ADDRESS,
vorota,moskva-i-mo,gruppa-masterov.ru,NO_PHONE,
vorota,moskva-i-mo,gruppa-masterov.ru,NO_ADDRESS,
vorota,moskva-i-mo,vorota-dlya-doma.ru,NO_PHONE,
vorota,moskva-i-mo,vorota-dlya-doma.ru,NO_ADDRESS,
vorota,moskva-i-mo,region-vorota.ru,NO_PHONE,
vorota,moskva-i-mo,region-vorota.ru,NO_ADDRESS,
vorota,moskva-i-mo,vorota-mp.ru,NO_PHONE,
vorota,moskva-i-mo,vorota-mp.ru,NO_ADDRESS,
vorota,moskva-i-mo,otkatnye-vorota-tut.ru,NO_PHONE,
vorota,moskva-i-mo,otkatnye-vorota-tut.ru,NO_ADDRESS,
vorota,moskva-i-mo,oblzabor.ru,NO_PHONE,
vorota,moskva-i-mo,oblzabor.ru,NO_ADDRESS,
vorota,moskva-i-mo,vorota-top.ru,NO_PHONE,
vorota,moskva-i-mo,vorota-top.ru,NO_ADDRESS,
vorota,moskva-i-mo,tancom.ru,NO_PHONE,
vorota,moskva-i-mo,tancom.ru,NO_ADDRESS,
vorota,moskva-i-mo,levin-group.ru,NO_PHONE,
vorota,moskva-i-mo,levin-group.ru,NO_ADDRESS,
vorota,moskva-i-mo,77vorota.ru,NO_PHONE,
vorota,moskva-i-mo,77vorota.ru,NO_ADDRESS,
vorota,moskva-i-mo,vorota-vsem.ru,NO_PHONE,
vorota,moskva-i-mo,vorota-vsem.ru,NO_ADDRESS,
vorota,moskva-i-mo,grandline.ru,NO_PHONE,
vorota,moskva-i-mo,grandline.ru,NO_ADDRESS,
vorota,moskva-i-mo,zaborkin.ru,NO_PHONE,
vorota,moskva-i-mo,zaborkin.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,alfa24.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,alfa24.ru,DUPLICATE,First: alfa24.ru
zashitnye-rolstavni,moskva-i-mo,alfa24.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,alfa24.ru,DUPLICATE,First: alfa24.ru
zashitnye-rolstavni,moskva-i-mo,alfa24.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,alutech.ru,NO_PHONE,
zashitnye-rolstavni,moskva-i-mo,alutech.ru,NO_NAME,
zashitnye-rolstavni,moskva-i-mo,alutech.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,etalonmsk.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,evro-rolstavni.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,gild24.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,levin-group.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,levin-group.ru,DUPLICATE,First: levin-group.ru
zashitnye-rolstavni,moskva-i-mo,levin-group.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,moskva-jaluzi.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,moskva-jaluzi.ru,DUPLICATE,First: moskva-jaluzi.ru
zashitnye-rolstavni,moskva-i-mo,moskva-jaluzi.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,moskva-jaluzi.ru,DUPLICATE,First: moskva-jaluzi.ru
zashitnye-rolstavni,moskva-i-mo,moskva-jaluzi.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,mskroll.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,okna-everest.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rolgroup.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rollets.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rollmarket.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rolmaster.ru,NO_PHONE,
zashitnye-rolstavni,moskva-i-mo,rolmaster.ru,NO_NAME,
zashitnye-rolstavni,moskva-i-mo,rolmaster.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rolmaster.ru,DUPLICATE,First: rolmaster.ru
zashitnye-rolstavni,moskva-i-mo,rolmaster.ru,NO_PHONE,
zashitnye-rolstavni,moskva-i-mo,rolmaster.ru,NO_NAME,
zashitnye-rolstavni,moskva-i-mo,rolmaster.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rolstavnimsk.ru,NO_PHONE,
zashitnye-rolstavni,moskva-i-mo,rolstavnimsk.ru,NO_NAME,
zashitnye-rolstavni,moskva-i-mo,rolstavnimsk.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rolstavni-prom.ru,NO_PHONE,
zashitnye-rolstavni,moskva-i-mo,rolstavni-prom.ru,NO_NAME,
zashitnye-rolstavni,moskva-i-mo,rolstavni-prom.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,rusroll.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,sart-vorota.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,sunsystems-rdo.ru,DUPLICATE,First: sunsystems-rdo.ru
zashitnye-rolstavni,moskva-i-mo,vorota-group.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,vorota-group.ru,DUPLICATE,First: vorota-group.ru
zashitnye-rolstavni,moskva-i-mo,vorota-group.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,vorota-one.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,vorota-top.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,vorota-vsem.ru,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,интбест.рф,NO_ADDRESS,
zashitnye-rolstavni,moskva-i-mo,zavodzaborov.ru,NO_ADDRESS,